State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Tamil Nadu,"Rajah Muthiah, Annamalainagar",DA,TN Govt Quota,"?50,000*","?52,451*",1*,"?20,00,000*",1400,,,
Tamil Nadu,"Rajah Muthiah, Annamalainagar",DCH,TN Govt Quota,"?50,000*","?52,451*",1*,"?20,00,000*",1400,,,
Tamil Nadu,"CMC, Vellore",DCP,TN Govt Quota,"?78,367*","?51,000",0,?0,2879,,,
Tamil Nadu,"CMC, Vellore",DCP,TN-CMC Minority 20,"?78,367*","?51,000",0,?0,2879,,,
Tamil Nadu,"Rajah Muthiah, Annamalainagar",DDVL,TN Govt Quota,"?50,000*","?52,451*",1*,"?20,00,000*",1400,,,
Tamil Nadu,"Madras Med Coll, Chennai",DDIAB,TN Govt Quota,"?50,000*","?52,451*",1*,"?20,00,000*",7285,,,
Tamil Nadu,"Rajah Muthiah, Annamalainagar",DGO,TN Govt Quota,"?50,000*","?52,451*",1*,"?20,00,000*",1400,,,
Tamil Nadu,"Rajah Muthiah, Annamalainagar",DO,TN Govt Quota,"?50,000*","?52,451*",1*,"?20,00,000*",1400,,,
Tamil Nadu,"PSG IMS, Coimbatore",DORTHO,TN Govt Quota,"?3,00,000*","?25,000*",0,?0,1130,,,
Tamil Nadu,"Rajah Muthiah, Annamalainagar",DORTHO,TN Govt Quota,"?50,000*","?52,451*",1*,"?20,00,000*",1400,,,
Tamil Nadu,"Rajah Muthiah, Annamalainagar",DLO,TN Govt Quota,"?50,000*","?52,451*",1*,"?20,00,000*",1400,,,
Tamil Nadu,"St. Peters Medical Coll, Hosur",ANAESTHESIOLOGY,TN Govt Quota,"?3,50,000*",Info not available,Info Not Available,Info not available,Info Not Available,,,
Tamil Nadu,"Govt Med Coll, Omandurar",ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",Info Not Available,,,
Tamil Nadu,"Stanley Med Coll, Chennai",ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1661,,,
Tamil Nadu,"Rajah Muthiah, Annamalainagar",ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1400,,,
Tamil Nadu,Govt Sivagangai Med Coll,ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",Info Not Available,,,
Tamil Nadu,Thanjavur Med Coll,ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1466,,,
Tamil Nadu,"Madurai Med Coll, Madurai",ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",3518,,,
Tamil Nadu,Govt Thiruvannamalai Med Coll,ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",500,,,
Tamil Nadu,"Madras Med Coll, Chennai",ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",7285,,,
Tamil Nadu,Tirunelveli Med Coll,ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1737,,,
Tamil Nadu,Chengalpattu Med Coll,ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",700,,,
Tamil Nadu,Govt Thiruvarur Med Coll,ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",555,,,
Tamil Nadu,Govt Dharmapuri Med Coll,ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",Info Not Available,,,
Tamil Nadu,Govt Thoothukudi Med Coll,ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1212,,,
Tamil Nadu,Govt Villupuram Med Coll,ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",670,,,
Tamil Nadu,Govt Vellore Med Coll,ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",2858,,,
Tamil Nadu,Govt Theni Med Coll,ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",940,,,
Tamil Nadu,Coimbatore Med Coll,ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1182,,,
Tamil Nadu,"Mohan Kumaramangalam, Salem",ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1642,,,
Tamil Nadu,Kanyakumari Med Coll,ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",840,,,
Tamil Nadu,"ESI PGIMSR, KK Nagar, Chennai",ANAESTHESIOLOGY,TN Govt Quota,"?2,50,000*","?1,11,780*",2*,"?10,00,000*",470,,,
Tamil Nadu,"KAPV Med Coll, Trichy",ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",2500,,,
Tamil Nadu,"Kilpauk Med Coll, Chennai",ANAESTHESIOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1700,,,
Tamil Nadu,"Tagore Med Coll, Chennai",ANAESTHESIOLOGY,TN Govt Quota,"?3,50,000*","?35,000*",0,?0,818,,,
Tamil Nadu,"Sri Muthukumaran, Chennai",ANAESTHESIOLOGY,TN Govt Quota,"?3,50,000*","?25,000",0,?0,720,,,
Tamil Nadu,"Karpagam Faculty, Coimbatore",ANAESTHESIOLOGY,TN Govt Quota,"?3,50,000*","?38,000*",0,?0,675,,,
Tamil Nadu,"Madha Medical College, Chennai",ANAESTHESIOLOGY,TN Govt Quota,"?3,50,000*",Info not available,0,?0,Info Not Available,,,
Tamil Nadu,"Trichy SRM Med Coll, Trichy",ANAESTHESIOLOGY,TN Govt Quota,"?3,50,000*","?35,000*",0,?0,1575,,,
Tamil Nadu,"Velammal Med Col, Madurai",ANAESTHESIOLOGY,TN Govt Quota,"?3,50,000*","?37,000*",0,?0,1024,,,
Tamil Nadu,"Dhanalakshmi Srin, Perambalur",ANAESTHESIOLOGY,TN Govt Quota,"?3,50,000*","?35,000*",0,?0,800,,,
Tamil Nadu,"KarpagaVinayaga,Maduranthagam",ANAESTHESIOLOGY,TN Govt Quota,"?3,50,000*","?10,000*",0,?0,550,,,
Tamil Nadu,Melmaruvathur Adiparasakthi,ANAESTHESIOLOGY,TN Govt Quota,"?3,50,000*","?35,000*",0,?0,700,,,
Tamil Nadu,"Mookambika IMS, Kanyakumari",ANAESTHESIOLOGY,TN Govt Quota,"?3,50,000*","?15,000*",0,?0,600,,,
Tamil Nadu,"PSG IMS, Coimbatore",ANAESTHESIOLOGY,TN Govt Quota,"?3,50,000*","?25,000*",0,?0,1130,,,
Tamil Nadu,"CMC, Vellore",ANAESTHESIOLOGY,TN Govt Quota,"?65,470*","?51,000",2,"?40,00,000",2879,,,
Tamil Nadu,"CMC, Vellore",ANAESTHESIOLOGY,TN-CMC Minority 20,"?65,470*","?51,000",2,"?40,00,000",2879,,,
Tamil Nadu,"Swamy Vivekanandha,Tiruchengode",ANATOMY,TN Govt Quota,"?3,00,000*",Info not available,0,?0,Info Not Available,,,
Tamil Nadu,"Rajah Muthiah, Annamalainagar",ANATOMY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1400,,,
Tamil Nadu,"Stanley Med Coll, Chennai",ANATOMY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1661,,,
Tamil Nadu,Thanjavur Med Coll,ANATOMY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1466,,,
Tamil Nadu,"Madurai Med Coll, Madurai",ANATOMY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",3518,,,
Tamil Nadu,"Madras Med Coll, Chennai",ANATOMY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",7285,,,
Tamil Nadu,Govt Theni Med Coll,ANATOMY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",940,,,
Tamil Nadu,"KAPV Med Coll, Trichy",ANATOMY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",2500,,,
Tamil Nadu,"Kilpauk Med Coll, Chennai",ANATOMY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1700,,,
Tamil Nadu,"Annapoorna Medical Coll, Salem",ANATOMY,TN Govt Quota,"?3,00,000*","?35,000*",0,?0,Info Not Available,,,
Tamil Nadu,"Velammal Med Col, Madurai",ANATOMY,TN Govt Quota,"?3,00,000*","?37,000*",0,?0,1024,,,
Tamil Nadu,Melmaruvathur Adiparasakthi,ANATOMY,TN Govt Quota,"?3,00,000*","?35,000*",0,?0,700,,,
Tamil Nadu,"Dhanalakshmi Srin, Perambalur",ANATOMY,TN Govt Quota,"?3,00,000*","?35,000*",0,?0,800,,,
Tamil Nadu,"Trichy SRM Med Coll, Trichy",ANATOMY,TN Govt Quota,"?3,00,000*","?35,000*",0,?0,1575,,,
Tamil Nadu,"KarpagaVinayaga,Maduranthagam",ANATOMY,TN Govt Quota,"?3,00,000*","?10,000*",0,?0,550,,,
Tamil Nadu,"PSG IMS, Coimbatore",ANATOMY,TN Govt Quota,"?3,00,000*","?25,000*",0,?0,1130,,,
Tamil Nadu,"Mookambika IMS, Kanyakumari",ANATOMY,TN Govt Quota,"?3,00,000*","?15,000*",0,?0,600,,,
Tamil Nadu,"CMC, Vellore",ANATOMY,TN Govt Quota,"?65,470*","?51,000",0,?0,2879,,,
Tamil Nadu,"Arunai Med Coll,Thiruvannamalai",ANATOMY,TN Govt Quota,"?3,00,000*",Info not available,0,?0,Info Not Available,,,
Tamil Nadu,"ESI PGIMSR, KK Nagar, Chennai",ANATOMY,TN Govt Quota,"?2,50,000*","?1,11,780*",2*,"?10,00,000*",470,,,
Tamil Nadu,"CMC, Vellore",ANATOMY,TN-CMC Minority 20,"?65,470*","?51,000",0,?0,2879,,,
Tamil Nadu,"St. Peters Medical Coll, Hosur",BIOCHEMISTRY,TN Govt Quota,"?3,00,000*",Info not available,Info Not Available,Info not available,Info Not Available,,,
Tamil Nadu,"Swamy Vivekanandha,Tiruchengode",BIOCHEMISTRY,TN Govt Quota,"?3,00,000*",Info not available,0,?0,Info Not Available,,,
Tamil Nadu,"ESI PGIMSR, KK Nagar, Chennai",BIOCHEMISTRY,TN Govt Quota,"?2,50,000*","?1,11,780*",2*,"?10,00,000*",470,,,
Tamil Nadu,"Rajah Muthiah, Annamalainagar",BIOCHEMISTRY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1400,,,
Tamil Nadu,Thanjavur Med Coll,BIOCHEMISTRY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1466,,,
Tamil Nadu,"Stanley Med Coll, Chennai",BIOCHEMISTRY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1661,,,
Tamil Nadu,"Madras Med Coll, Chennai",BIOCHEMISTRY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",7285,,,
Tamil Nadu,"Madurai Med Coll, Madurai",BIOCHEMISTRY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",3518,,,
Tamil Nadu,Chengalpattu Med Coll,BIOCHEMISTRY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",700,,,
Tamil Nadu,Tirunelveli Med Coll,BIOCHEMISTRY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1737,,,
Tamil Nadu,Coimbatore Med Coll,BIOCHEMISTRY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1182,,,
Tamil Nadu,"Mohan Kumaramangalam, Salem",BIOCHEMISTRY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1642,,,
Tamil Nadu,"KAPV Med Coll, Trichy",BIOCHEMISTRY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",2500,,,
Tamil Nadu,"Kilpauk Med Coll, Chennai",BIOCHEMISTRY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1700,,,
Tamil Nadu,"Annapoorna Medical Coll, Salem",BIOCHEMISTRY,TN Govt Quota,"?3,00,000*","?35,000*",0,?0,Info Not Available,,,
Tamil Nadu,Melmaruvathur Adiparasakthi,BIOCHEMISTRY,TN Govt Quota,"?3,00,000*","?35,000*",0,?0,700,,,
Tamil Nadu,"Velammal Med Col, Madurai",BIOCHEMISTRY,TN Govt Quota,"?3,00,000*","?37,000*",0,?0,1024,,,
Tamil Nadu,"Karpagam Faculty, Coimbatore",BIOCHEMISTRY,TN Govt Quota,"?3,00,000*","?38,000*",0,?0,675,,,
Tamil Nadu,"Dhanalakshmi Srin, Perambalur",BIOCHEMISTRY,TN Govt Quota,"?3,00,000*","?35,000*",0,?0,800,,,
Tamil Nadu,"Trichy SRM Med Coll, Trichy",BIOCHEMISTRY,TN Govt Quota,"?3,00,000*","?35,000*",0,?0,1575,,,
Tamil Nadu,"KarpagaVinayaga,Maduranthagam",BIOCHEMISTRY,TN Govt Quota,"?3,00,000*","?10,000*",0,?0,550,,,
Tamil Nadu,"Mookambika IMS, Kanyakumari",BIOCHEMISTRY,TN Govt Quota,"?3,00,000*","?15,000*",0,?0,600,,,
Tamil Nadu,"PSG IMS, Coimbatore",BIOCHEMISTRY,TN Govt Quota,"?3,00,000*","?25,000*",0,?0,1130,,,
Tamil Nadu,"CMC, Vellore",BIOCHEMISTRY,TN Govt Quota,"?65,470*","?51,000",0,?0,2879,,,
Tamil Nadu,"Arunai Med Coll,Thiruvannamalai",BIOCHEMISTRY,TN Govt Quota,"?3,00,000*",Info not available,0,?0,Info Not Available,,,
Tamil Nadu,"CMC, Vellore",BIOCHEMISTRY,TN-CMC Minority 20,"?65,470*","?51,000",0,?0,2879,,,
Tamil Nadu,"St. Peters Medical Coll, Hosur",DERMATOLOGY,TN Govt Quota,"?3,50,000*",Info not available,Info Not Available,Info not available,Info Not Available,,,
Tamil Nadu,"Madurai Med Coll, Madurai",DERMATOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",3518,,,
Tamil Nadu,Coimbatore Med Coll,DERMATOLOGY,TN Govt Quota,"?50,000*","?52,451*",2*,"?40,00,000*",1182,,,
