State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Tamil Nadu,"CMC, Vellore",DCP,TN CMC-General Merit,"?78,367*","?51,000",0,?0,2879,,,
Tamil Nadu,"CMC, Vellore",DCP,TN CMC-Service,"?78,367*","?51,000",1,"?20,00,000",2879,,,
Tamil Nadu,"PSG IMS, Coimbatore",DORTHO,TN Mgmt Quota,"?4,35,000*","?25,000*",0,?0,1130,,,
Tamil Nadu,"St. Peters Medical Coll, Hosur",ANAESTHESIOLOGY,TN Mgmt Quota,"?15,50,000*",Info not available,Info Not Available,Info not available,Info Not Available,,,
Tamil Nadu,"Tagore Med Coll, Chennai",ANAESTHESIOLOGY,TN Mgmt Quota,"?15,50,000*","?35,000*",0,?0,818,,,
Tamil Nadu,"Sri Muthukumaran, Chennai",ANAESTHESIOLOGY,TN Mgmt Quota,"?15,50,000*","?25,000",0,?0,720,,,
Tamil Nadu,"Karpagam Faculty, Coimbatore",ANAESTHESIOLOGY,TN Mgmt Quota,"?15,50,000*","?38,000*",0,?0,675,,,
Tamil Nadu,"Madha Medical College, Chennai",ANAESTHESIOLOGY,TN Mgmt Quota,"?15,50,000*",Info not available,0,?0,Info Not Available,,,
Tamil Nadu,"Trichy SRM Med Coll, Trichy",ANAESTHESIOLOGY,TN Mgmt Quota,"?15,50,000*","?35,000*",0,?0,1575,,,
Tamil Nadu,"Velammal Med Col, Madurai",ANAESTHESIOLOGY,TN Mgmt Quota,"?15,50,000*","?37,000*",0,?0,1024,,,
Tamil Nadu,"Dhanalakshmi Srin, Perambalur",ANAESTHESIOLOGY,TN Mgmt Quota,"?15,50,000*","?35,000*",0,?0,800,,,
Tamil Nadu,"KarpagaVinayaga,Maduranthagam",ANAESTHESIOLOGY,TN Mgmt Quota,"?15,50,000*","?10,000*",0,?0,550,,,
Tamil Nadu,Melmaruvathur Adiparasakthi,ANAESTHESIOLOGY,TN Mgmt Quota,"?15,50,000*","?35,000*",0,?0,700,,,
Tamil Nadu,"Mookambika IMS, Kanyakumari",ANAESTHESIOLOGY,TN Mgmt Quota,"?15,50,000*","?15,000*",0,?0,600,,,
Tamil Nadu,"PSG IMS, Coimbatore",ANAESTHESIOLOGY,TN Mgmt Quota,"?15,50,000*","?25,000*",0,?0,1130,,,
Tamil Nadu,"Sri Muthukumaran, Chennai",ANAESTHESIOLOGY,TN NRI Quota,"?26,00,000*","?25,000",0,?0,720,,,
