State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Telangana,"Osmania Med Coll, Hyderabad",DO,Tel Govt-NS UNR,"?25,000*","?58,289",1,"?10,00,000",4800,,,
Telangana,"Osmania Med Coll, Hyderabad",DO,Tel Govt-NS LOC,"?25,000*","?58,289",1,"?10,00,000",4800,,,
Telangana,"Osmania Med Coll, Hyderabad",DO,Tel Govt-Serv UNR,"?25,000*","?58,289",1,"?10,00,000",4800,,,
Telangana,"Osmania Med Coll, Hyderabad",DO,Tel Govt-Serv LOC,"?25,000*","?58,289",1,"?10,00,000",4800,,,
Telangana,"DCMS, Hyderabad",DPM (Psychiatry),Tel Govt-NS UNR,"?7,75,000*",Info not available*,1*,"?20,00,000*",1400,,,
Telangana,"DCMS, Hyderabad",DPM (Psychiatry),Tel Govt-NS LOC,"?7,75,000*",Info not available*,1*,"?20,00,000*",1400,,,
Telangana,"DCMS, Hyderabad",DPM (Psychiatry),Tel Govt-Serv UNR,"?7,75,000*",Info not available*,1*,"?20,00,000*",1400,,,
Telangana,"DCMS, Hyderabad",DPM (Psychiatry),Tel Govt-Serv LOC,"?7,75,000*",Info not available*,1*,"?20,00,000*",1400,,,
Telangana,"Osmania Med Coll, Hyderabad",DPH,Tel Govt-NS UNR,"?25,000*","?58,289",1,"?10,00,000",4800,,,
Telangana,"Kakatiya Med Coll, Warangal",DPH,Tel Govt-NS UNR,"?25,000*","?58,289",1,"?10,00,000",1150,,,
Telangana,"Osmania Med Coll, Hyderabad",DPH,Tel Govt-NS LOC,"?25,000*","?58,289",1,"?10,00,000",4800,,,
Telangana,"Kakatiya Med Coll, Warangal",DPH,Tel Govt-NS LOC,"?25,000*","?58,289",1,"?10,00,000",1150,,,
Telangana,"Osmania Med Coll, Hyderabad",DPH,Tel Govt-Serv UNR,"?25,000*","?58,289",1,"?10,00,000",4800,,,
Telangana,"Kakatiya Med Coll, Warangal",DPH,Tel Govt-Serv UNR,"?25,000*","?58,289",1,"?10,00,000",1150,,,
Telangana,"Osmania Med Coll, Hyderabad",DPH,Tel Govt-Serv LOC,"?25,000*","?58,289",1,"?10,00,000",4800,,,
Telangana,"Kakatiya Med Coll, Warangal",DPH,Tel Govt-Serv LOC,"?25,000*","?58,289",1,"?10,00,000",1150,,,
Telangana,"Kakatiya Med Coll, Warangal",DMRD,Tel Govt-NS UNR,"?25,000*","?58,289",1,"?10,00,000",1150,,,
Telangana,"Kakatiya Med Coll, Warangal",DMRD,Tel Govt-NS LOC,"?25,000*","?58,289",1,"?10,00,000",1150,,,
Telangana,"Kakatiya Med Coll, Warangal",DMRD,Tel Govt-Serv UNR,"?25,000*","?58,289",1,"?10,00,000",1150,,,
Telangana,"Kakatiya Med Coll, Warangal",DMRD,Tel Govt-Serv LOC,"?25,000*","?58,289",1,"?10,00,000",1150,,,
Telangana,"Osmania Med Coll, Hyderabad",DTBCD,Tel Govt-NS UNR,"?25,000*","?58,289",1,"?10,00,000",4800,,,
Telangana,"Osmania Med Coll, Hyderabad",DTBCD,Tel Govt-NS LOC,"?25,000*","?58,289",1,"?10,00,000",4800,,,
Telangana,"Osmania Med Coll, Hyderabad",DTBCD,Tel Govt-Serv UNR,"?25,000*","?58,289",1,"?10,00,000",4800,,,
Telangana,"Osmania Med Coll, Hyderabad",DTBCD,Tel Govt-Serv LOC,"?25,000*","?58,289",1,"?10,00,000",4800,,,
Telangana,"Mahavir Inst of MS, Vikarabad",ANAESTHESIOLOGY,Tel Govt-NS UNR,"?7,00,000*",Info not available*,1*,"?20,00,000*",700,,,
Telangana,"Mamata Med Coll, Khammam",ANAESTHESIOLOGY,Tel Govt-NS UNR,"?7,50,000*",Info not available*,1*,"?20,00,000*",1080,,,
Telangana,"Kamineni IMS, Narketpally",ANAESTHESIOLOGY,Tel Govt-NS UNR,"?7,50,000*",Info not available*,1*,"?20,00,000*",1060,,,
Telangana,"SVS Med Coll, Mehboobnagar",ANAESTHESIOLOGY,Tel Govt-NS UNR,"?7,50,000*",Info not available*,1*,"?20,00,000*",760,,,
Telangana,"Surabhi InstituteofMS,Siddipet",ANAESTHESIOLOGY,Tel Govt-NS UNR,"?7,75,000*",Info not available*,1*,"?20,00,000*",Info Not Available,,,
Telangana,"Dr Patnam MRInstofMS,Chevella",ANAESTHESIOLOGY,Tel Govt-NS UNR,"?7,00,000*",Info not available*,1*,"?20,00,000*",Info Not Available,,,
Telangana,"RVM IMSRC, Siddipet",ANAESTHESIOLOGY,Tel Govt-NS UNR,"?7,00,000*",Info not available*,1*,"?20,00,000*",1110,,,
Telangana,"Apollo IMSR, Hyderabad",ANAESTHESIOLOGY,Tel Govt-NS UNR,"?7,50,000*",Info not available*,1*,"?20,00,000*",570,,,
Telangana,"Bhaskar Med Coll, Yenkapally",ANAESTHESIOLOGY,Tel Govt-NS UNR,"?7,50,000*",Info not available*,1*,"?20,00,000*",850,,,
Telangana,"Kamineni (KAMSRC), Hyderabad",ANAESTHESIOLOGY,Tel Govt-NS UNR,"?7,00,000*",Info not available*,1*,"?20,00,000*",650,,,
Telangana,"Shadan IMSRC, Peerancheru",ANAESTHESIOLOGY,Tel Govt-NS UNR,"?7,50,000*",Info not available*,1*,"?20,00,000*",800,,,
Telangana,"Mediciti IMS, Ghanpur",ANAESTHESIOLOGY,Tel Govt-NS UNR,"?7,00,000*",Info not available*,1*,"?20,00,000*",720,,,
Telangana,"MNR Med Coll, Sangareddy",ANAESTHESIOLOGY,Tel Govt-NS UNR,"?7,00,000*",Info not available*,1*,"?20,00,000*",760,,,
Telangana,"Prathima IMS, Karimnagar",ANAESTHESIOLOGY,Tel Govt-NS UNR,"?7,50,000*",Info not available*,1*,"?20,00,000*",1060,,,
Telangana,"CAIMS, Karimnagar",ANAESTHESIOLOGY,Tel Govt-NS UNR,"?7,75,000*",Info not available*,1*,"?20,00,000*",1000,,,
Telangana,"DCMS, Hyderabad",ANAESTHESIOLOGY,Tel Govt-NS UNR,"?7,75,000*",Info not available*,1*,"?20,00,000*",1400,,,
Telangana,"Osmania Med Coll, Hyderabad",ANAESTHESIOLOGY,Tel Govt-NS UNR,"?25,000*","?58,289",1,"?20,00,000",4800,,,
