State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Telangana,"DCMS, Hyderabad",DPM (Psychiatry),TELMgmt-MQ1-CatB-All,"?24,00,000*",Info not available*,1*,"?20,00,000*",1400,,,
Telangana,"DCMS, Hyderabad",DPM (Psychiatry),TELMgmt-MQ2-CatC-NRI,"?72,00,000*",Info not available*,1*,"?20,00,000*",1400,,,
Telangana,"DCMS, Hyderabad",DPM (Psychiatry),TELMgmt-MQ3-CatC-Inst,"?72,00,000*",Info not available*,1*,"?20,00,000*",1400,,,
Telangana,"Mahavir Inst of MS, Vikarabad",ANAESTHESIOLOGY,TELMgmt-MQ1-CatB-All,"?23,00,000*",Info not available*,1*,"?20,00,000*",700,,,
Telangana,"Mamata Med Coll, Khammam",ANAESTHESIOLOGY,TELMgmt-MQ1-CatB-All,"?23,00,000*",Info not available*,1*,"?20,00,000*",1080,,,
Telangana,"Kamineni IMS, Narketpally",ANAESTHESIOLOGY,TELMgmt-MQ1-CatB-All,"?23,00,000*",Info not available*,1*,"?20,00,000*",1060,,,
Telangana,"SVS Med Coll, Mehboobnagar",ANAESTHESIOLOGY,TELMgmt-MQ1-CatB-All,"?24,00,000*",Info not available*,1*,"?20,00,000*",760,,,
Telangana,"Surabhi InstituteofMS,Siddipet",ANAESTHESIOLOGY,TELMgmt-MQ1-CatB-All,"?24,00,000*",Info not available*,1*,"?20,00,000*",Info Not Available,,,
Telangana,"Dr Patnam MRInstofMS,Chevella",ANAESTHESIOLOGY,TELMgmt-MQ1-CatB-All,"?23,00,000*",Info not available*,1*,"?20,00,000*",Info Not Available,,,
Telangana,"RVM IMSRC, Siddipet",ANAESTHESIOLOGY,TELMgmt-MQ1-CatB-All,"?23,00,000*",Info not available*,1*,"?20,00,000*",1110,,,
Telangana,"Apollo IMSR, Hyderabad",ANAESTHESIOLOGY,TELMgmt-MQ1-CatB-All,"?23,00,000*",Info not available*,1*,"?20,00,000*",570,,,
Telangana,"Bhaskar Med Coll, Yenkapally",ANAESTHESIOLOGY,TELMgmt-MQ1-CatB-All,"?23,00,000*",Info not available*,1*,"?20,00,000*",850,,,
Telangana,"Kamineni (KAMSRC), Hyderabad",ANAESTHESIOLOGY,TELMgmt-MQ1-CatB-All,"?23,00,000*",Info not available*,1*,"?20,00,000*",650,,,
Telangana,"Shadan IMSRC, Peerancheru",ANAESTHESIOLOGY,TELMgmt-MQ1-CatB-All,"?24,00,000*",Info not available*,1*,"?20,00,000*",800,,,
Telangana,"Mediciti IMS, Ghanpur",ANAESTHESIOLOGY,TELMgmt-MQ1-CatB-All,"?23,00,000*",Info not available*,1*,"?20,00,000*",720,,,
Telangana,"MNR Med Coll, Sangareddy",ANAESTHESIOLOGY,TELMgmt-MQ1-CatB-All,"?23,00,000*",Info not available*,1*,"?20,00,000*",760,,,
Telangana,"Prathima IMS, Karimnagar",ANAESTHESIOLOGY,TELMgmt-MQ1-CatB-All,"?23,00,000*",Info not available*,1*,"?20,00,000*",1060,,,
Telangana,"CAIMS, Karimnagar",ANAESTHESIOLOGY,TELMgmt-MQ1-CatB-All,"?24,00,000*",Info not available*,1*,"?20,00,000*",1000,,,
