State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Tripura,"Agartala Med Coll, Agartala",ANAESTHESIOLOGY,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?50,00,000*",580,,,
Tripura,"Agartala Med Coll, Agartala",ANATOMY,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?35,00,000*",580,,,
Tripura,"Agartala Med Coll, Agartala",BIOCHEMISTRY,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?35,00,000*",580,,,
Tripura,"Agartala Med Coll, Agartala",FORENSIC MEDICINE,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?35,00,000*",580,,,
Tripura,"Tripura Med Coll, Agartala",GENERAL MEDICINE,Tripura Govt Quota,"?23,65,500*","?55,200",3*,"?50,00,000*",490,,,
Tripura,"Agartala Med Coll, Agartala",GENERAL MEDICINE,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?50,00,000*",580,,,
Tripura,"Tripura Med Coll, Agartala",GENERAL MEDICINE,Tripura Mgmt Quota,"?23,65,500*","?55,200",3*,"?50,00,000*",490,,,
Tripura,"Agartala Med Coll, Agartala",MICROBIOLOGY,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?35,00,000*",580,,,
Tripura,"Agartala Med Coll, Agartala",PAEDIATRICS,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?50,00,000*",580,,,
Tripura,"Tripura Med Coll, Agartala",PATHOLOGY,Tripura Govt Quota,"?15,00,000*","?55,200",3*,"?50,00,000*",490,,,
Tripura,"Agartala Med Coll, Agartala",PATHOLOGY,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?35,00,000*",580,,,
Tripura,"Tripura Med Coll, Agartala",PATHOLOGY,Tripura Mgmt Quota,"?15,00,000*","?55,200",3*,"?50,00,000*",490,,,
Tripura,"Tripura Med Coll, Agartala",PHARMACOLOGY,Tripura Govt Quota,"?8,00,000*","?55,200",3*,"?50,00,000*",490,,,
Tripura,"Agartala Med Coll, Agartala",PHARMACOLOGY,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?35,00,000*",580,,,
Tripura,"Tripura Med Coll, Agartala",PHARMACOLOGY,Tripura Mgmt Quota,"?8,00,000*","?55,200",3*,"?50,00,000*",490,,,
Tripura,"Agartala Med Coll, Agartala",PHYSIOLOGY,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?35,00,000*",580,,,
Tripura,"Agartala Med Coll, Agartala",PSYCHIATRY,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?50,00,000*",580,,,
Tripura,"Agartala Med Coll, Agartala",RADIATION ONCOLOGY,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?50,00,000*",580,,,
Tripura,"Agartala Med Coll, Agartala",RADIO DIAGNOSIS,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?50,00,000*",580,,,
Tripura,"Agartala Med Coll, Agartala",SPM,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?35,00,000*",580,,,
Tripura,"Agartala Med Coll, Agartala",TBRD,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?50,00,000*",580,,,
Tripura,"Tripura Med Coll, Agartala",ENT,Tripura Govt Quota,"?18,65,000*","?55,200",3*,"?50,00,000*",490,,,
Tripura,"Agartala Med Coll, Agartala",ENT,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?50,00,000*",580,,,
Tripura,"Tripura Med Coll, Agartala",ENT,Tripura Mgmt Quota,"?18,65,000*","?55,200",3*,"?50,00,000*",490,,,
Tripura,"Agartala Med Coll, Agartala",GENERAL SURGERY,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?50,00,000*",580,,,
Tripura,"Agartala Med Coll, Agartala",OBG,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?50,00,000*",580,,,
Tripura,"Agartala Med Coll, Agartala",OPHTHALMOLOGY,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?50,00,000*",580,,,
Tripura,"Tripura Med Coll, Agartala",OPHTHALMOLOGY,Tripura Govt Quota,"?18,65,000*","?55,200",3*,"?50,00,000*",490,,,
Tripura,"Tripura Med Coll, Agartala",OPHTHALMOLOGY,Tripura Mgmt Quota,"?18,65,000*","?55,200",3*,"?50,00,000*",490,,,
Tripura,"Agartala Med Coll, Agartala",ORTHOPAEDICS,Tripura Govt Quota,"?1,50,000*","?55,200*",1*,"?50,00,000*",580,,,
Tripura,"IGM Hospital, Agartala",DFAM(NBEMS),Tripura DNB Serv,"?1,25,000","?42,000*",Info Not Available,Info not available,Info Not Available,,,
Tripura,"IGM Hospital, Agartala",DGO(NBEMS),Tripura DNB Serv,"?1,25,000","?42,000*",Info Not Available,Info not available,Info Not Available,,,
Tripura,"IGM Hospital, Agartala",DO(NBEMS),Tripura DNB Serv,"?1,25,000","?42,000*",Info Not Available,Info not available,Info Not Available,,,
Tripura,"IGM Hospital, Agartala",DCH(NBEMS),Tripura DNB Serv,"?1,25,000","?42,000*",Info Not Available,Info not available,Info Not Available,,,
