,State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
,Uttar Pradesh,"GSVM Med Coll, Kanpur",DA,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?20,00,000*",2083,,,
,Uttar Pradesh,"BRD Med Coll, Gorakhpur",DA,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?20,00,000*",1050,,,
,Uttar Pradesh,"MLB Med Coll, Jhansi",DA,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?20,00,000*",700,,,
,Uttar Pradesh,"LLRM Med Coll, Meerut",DCH,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?20,00,000*",1090,,,
,Uttar Pradesh,"BRD Med Coll, Gorakhpur",DCH,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?20,00,000*",1050,,,
,Uttar Pradesh,"MLB Med Coll, Jhansi",DCH,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?20,00,000*",700,,,
,Uttar Pradesh,"S N Med Coll, Agra",DCH,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?20,00,000*",976,,,
,Uttar Pradesh,"GSVM Med Coll, Kanpur",DCH,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?20,00,000*",2083,,,
,Uttar Pradesh,"LLRM Med Coll, Meerut",DDVL,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?20,00,000*",1090,,,
,Uttar Pradesh,"S N Med Coll, Agra",DDVL,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?20,00,000*",976,,,
,Uttar Pradesh,"BRD Med Coll, Gorakhpur",DGO,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?20,00,000*",1050,,,
,Uttar Pradesh,"LLRM Med Coll, Meerut",DO,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?20,00,000*",1090,,,
,Uttar Pradesh,"LLRM Med Coll, Meerut",DORTHO,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?20,00,000*",1090,,,
,Uttar Pradesh,"BRD Med Coll, Gorakhpur",DORTHO,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?20,00,000*",1050,,,
