State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Uttarakhand,"Doon Med Coll, Dehradun",ANAESTHESIOLOGY,UK-Govt Quota,"?60,000*","?71,257*",2*,"?2,50,00,000*",436,,,
Uttarakhand,"Govt Med Coll, Haldwani",ANAESTHESIOLOGY,UK-Govt Quota,"?60,000*","?71,257*",2*,"?2,50,00,000*",600,,,
Uttarakhand,"HIMS, Dehradun",ANAESTHESIOLOGY,UK Priv-AllIndia/Mgmt,"?17,00,000*","?40,000",1,"?10,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",ANAESTHESIOLOGY,UK Priv-AllIndia/Mgmt,"?17,00,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",ANAESTHESIOLOGY,UK Priv-Govt Quota,"?17,00,000*","?40,000",1,"?10,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",ANAESTHESIOLOGY,UK Priv-Govt Quota,"?17,00,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"SGRRI, Dehradun",ANAESTHESIOLOGY,UK Priv-NRI,"?42,59,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"Doon Med Coll, Dehradun",ANATOMY,UK-Govt Quota,"?1,00,000*","?71,257*",0*,?0*,436,,,
Uttarakhand,"VCSG Med Coll, Pauri Garhwal",ANATOMY,UK-Govt Quota,"?1,00,000*","?76,600*",0*,?0*,Info Not Available,,,
Uttarakhand,"Govt Med Coll, Haldwani",ANATOMY,UK-Govt Quota,"?1,00,000*","?71,257*",0*,?0*,600,,,
Uttarakhand,"HIMS, Dehradun",ANATOMY,UK Priv-AllIndia/Mgmt,?0*,"?40,000",0,?0,1200,,,
Uttarakhand,"SGRRI, Dehradun",ANATOMY,UK Priv-AllIndia/Mgmt,?0*,"?30,000*",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",ANATOMY,UK Priv-Govt Quota,?0*,"?40,000",0,?0,1200,,,
Uttarakhand,"SGRRI, Dehradun",ANATOMY,UK Priv-Govt Quota,?0*,"?30,000*",1,"?10,00,000",750,,,
Uttarakhand,"Doon Med Coll, Dehradun",BIOCHEMISTRY,UK-Govt Quota,"?1,00,000*","?71,257*",0*,?0*,436,,,
Uttarakhand,"HIMS, Dehradun",BIOCHEMISTRY,UK Priv-AllIndia/Mgmt,?0*,"?40,000",0,?0,1200,,,
Uttarakhand,"SGRRI, Dehradun",BIOCHEMISTRY,UK Priv-AllIndia/Mgmt,?0*,"?30,000*",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",BIOCHEMISTRY,UK Priv-Govt Quota,?0*,"?40,000",0,?0,1200,,,
Uttarakhand,"SGRRI, Dehradun",BIOCHEMISTRY,UK Priv-Govt Quota,?0*,"?30,000*",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",DERMATOLOGY,UK Priv-AllIndia/Mgmt,"?26,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",DERMATOLOGY,UK Priv-AllIndia/Mgmt,"?28,50,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",DERMATOLOGY,UK Priv-Govt Quota,"?26,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",DERMATOLOGY,UK Priv-Govt Quota,"?28,50,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"SGRRI, Dehradun",DERMATOLOGY,UK Priv-NRI,"?48,43,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",EMERGENCY MEDICINE,UK Priv-AllIndia/Mgmt,"?17,00,000*","?40,000",1,"?10,00,000",1200,,,
Uttarakhand,"HIMS, Dehradun",EMERGENCY MEDICINE,UK Priv-Govt Quota,"?17,00,000*","?40,000",1,"?10,00,000",1200,,,
Uttarakhand,"Doon Med Coll, Dehradun",FORENSIC MEDICINE,UK-Govt Quota,"?1,00,000*","?71,257*",0*,?0*,436,,,
Uttarakhand,"VCSG Med Coll, Pauri Garhwal",FORENSIC MEDICINE,UK-Govt Quota,"?1,00,000*","?76,600*",0*,?0*,Info Not Available,,,
Uttarakhand,"Govt Med Coll, Haldwani",FORENSIC MEDICINE,UK-Govt Quota,"?1,00,000*","?71,257*",0*,?0*,600,,,
Uttarakhand,"Doon Med Coll, Dehradun",GENERAL MEDICINE,UK-Govt Quota,"?60,000*","?71,257*",2*,"?2,50,00,000*",436,,,
Uttarakhand,"Govt Med Coll, Haldwani",GENERAL MEDICINE,UK-Govt Quota,"?60,000*","?71,257*",2*,"?2,50,00,000*",600,,,
Uttarakhand,"HIMS, Dehradun",GENERAL MEDICINE,UK Priv-AllIndia/Mgmt,"?26,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",GENERAL MEDICINE,UK Priv-AllIndia/Mgmt,"?28,00,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",GENERAL MEDICINE,UK Priv-Govt Quota,"?26,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",GENERAL MEDICINE,UK Priv-Govt Quota,"?28,00,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"SGRRI, Dehradun",GENERAL MEDICINE,UK Priv-NRI,"?47,60,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",IHBT,UK Priv-AllIndia/Mgmt,"?15,00,000*","?40,000",0,?0,1200,,,
Uttarakhand,"HIMS, Dehradun",IHBT,UK Priv-Govt Quota,"?15,00,000*","?40,000",0,?0,1200,,,
Uttarakhand,"VCSG Med Coll, Pauri Garhwal",MICROBIOLOGY,UK-Govt Quota,"?1,00,000*","?76,600*",0*,?0*,Info Not Available,,,
Uttarakhand,"Doon Med Coll, Dehradun",MICROBIOLOGY,UK-Govt Quota,"?1,00,000*","?71,257*",0*,?0*,436,,,
Uttarakhand,"Govt Med Coll, Haldwani",MICROBIOLOGY,UK-Govt Quota,"?1,00,000*","?71,257*",0*,?0*,600,,,
Uttarakhand,"HIMS, Dehradun",MICROBIOLOGY,UK Priv-AllIndia/Mgmt,?0*,"?40,000",0,?0,1200,,,
Uttarakhand,"SGRRI, Dehradun",MICROBIOLOGY,UK Priv-AllIndia/Mgmt,?0*,"?30,000*",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",MICROBIOLOGY,UK Priv-Govt Quota,?0*,"?40,000",0,?0,1200,,,
Uttarakhand,"SGRRI, Dehradun",MICROBIOLOGY,UK Priv-Govt Quota,?0*,"?30,000*",1,"?10,00,000",750,,,
Uttarakhand,"Govt Med Coll, Haldwani",PAEDIATRICS,UK-Govt Quota,"?60,000*","?71,257*",2*,"?2,50,00,000*",600,,,
Uttarakhand,"Doon Med Coll, Dehradun",PAEDIATRICS,UK-Govt Quota,"?60,000*","?71,257*",2*,"?2,50,00,000*",436,,,
Uttarakhand,"HIMS, Dehradun",PAEDIATRICS,UK Priv-AllIndia/Mgmt,"?26,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",PAEDIATRICS,UK Priv-AllIndia/Mgmt,"?28,00,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",PAEDIATRICS,UK Priv-Govt Quota,"?26,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",PAEDIATRICS,UK Priv-Govt Quota,"?28,00,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"Doon Med Coll, Dehradun",PATHOLOGY,UK-Govt Quota,"?60,000*","?71,257*",2*,"?2,50,00,000*",436,,,
Uttarakhand,"VCSG Med Coll, Pauri Garhwal",PATHOLOGY,UK-Govt Quota,"?60,000*","?76,600*",2*,"?2,50,00,000*",Info Not Available,,,
Uttarakhand,"Govt Med Coll, Haldwani",PATHOLOGY,UK-Govt Quota,"?60,000*","?71,257*",2*,"?2,50,00,000*",600,,,
Uttarakhand,"HIMS, Dehradun",PATHOLOGY,UK Priv-AllIndia/Mgmt,"?12,50,000*","?40,000",0,?0,1200,,,
Uttarakhand,"SGRRI, Dehradun",PATHOLOGY,UK Priv-AllIndia/Mgmt,"?12,50,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",PATHOLOGY,UK Priv-Govt Quota,"?12,50,000*","?40,000",0,?0,1200,,,
Uttarakhand,"SGRRI, Dehradun",PATHOLOGY,UK Priv-Govt Quota,"?12,50,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"VCSG Med Coll, Pauri Garhwal",PHARMACOLOGY,UK-Govt Quota,"?1,00,000*","?76,600*",0*,?0*,Info Not Available,,,
Uttarakhand,"Doon Med Coll, Dehradun",PHARMACOLOGY,UK-Govt Quota,"?1,00,000*","?71,257*",0*,?0*,436,,,
Uttarakhand,"Govt Med Coll, Haldwani",PHARMACOLOGY,UK-Govt Quota,"?1,00,000*","?71,257*",0*,?0*,600,,,
Uttarakhand,"HIMS, Dehradun",PHARMACOLOGY,UK Priv-AllIndia/Mgmt,?0*,"?40,000",0,?0,1200,,,
Uttarakhand,"SGRRI, Dehradun",PHARMACOLOGY,UK Priv-AllIndia/Mgmt,?0*,"?30,000*",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",PHARMACOLOGY,UK Priv-Govt Quota,?0*,"?40,000",0,?0,1200,,,
Uttarakhand,"SGRRI, Dehradun",PHARMACOLOGY,UK Priv-Govt Quota,?0*,"?30,000*",1,"?10,00,000",750,,,
Uttarakhand,"VCSG Med Coll, Pauri Garhwal",PHYSIOLOGY,UK-Govt Quota,"?1,00,000*","?76,600*",0*,?0*,Info Not Available,,,
Uttarakhand,"Doon Med Coll, Dehradun",PHYSIOLOGY,UK-Govt Quota,"?1,00,000*","?71,257*",0*,?0*,436,,,
Uttarakhand,"HIMS, Dehradun",PHYSIOLOGY,UK Priv-AllIndia/Mgmt,?0*,"?40,000",0,?0,1200,,,
Uttarakhand,"SGRRI, Dehradun",PHYSIOLOGY,UK Priv-AllIndia/Mgmt,?0*,"?30,000*",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",PHYSIOLOGY,UK Priv-Govt Quota,?0*,"?40,000",0,?0,1200,,,
Uttarakhand,"SGRRI, Dehradun",PHYSIOLOGY,UK Priv-Govt Quota,?0*,"?30,000*",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",PSYCHIATRY,UK Priv-AllIndia/Mgmt,"?26,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",PSYCHIATRY,UK Priv-AllIndia/Mgmt,"?26,75,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",PSYCHIATRY,UK Priv-Govt Quota,"?26,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",PSYCHIATRY,UK Priv-Govt Quota,"?26,75,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",RADIATION ONCOLOGY,UK Priv-AllIndia/Mgmt,"?17,00,000*","?40,000",1,"?10,00,000",1200,,,
Uttarakhand,"HIMS, Dehradun",RADIATION ONCOLOGY,UK Priv-Govt Quota,"?17,00,000*","?40,000",1,"?10,00,000",1200,,,
Uttarakhand,"HIMS, Dehradun",RADIO DIAGNOSIS,UK Priv-AllIndia/Mgmt,"?30,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",RADIO DIAGNOSIS,UK Priv-AllIndia/Mgmt,"?32,00,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",RADIO DIAGNOSIS,UK Priv-Govt Quota,"?30,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",RADIO DIAGNOSIS,UK Priv-Govt Quota,"?32,00,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"SGRRI, Dehradun",RADIO DIAGNOSIS,UK Priv-NRI,"?60,96,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"VCSG Med Coll, Pauri Garhwal",SPM,UK-Govt Quota,"?1,00,000*","?76,600*",0*,?0*,Info Not Available,,,
Uttarakhand,"Doon Med Coll, Dehradun",SPM,UK-Govt Quota,"?1,00,000*","?71,257*",0*,?0*,436,,,
Uttarakhand,"Govt Med Coll, Haldwani",SPM,UK-Govt Quota,"?1,00,000*","?71,257*",0*,?0*,600,,,
Uttarakhand,"HIMS, Dehradun",SPM,UK Priv-AllIndia/Mgmt,?0*,"?40,000",0,?0,1200,,,
Uttarakhand,"SGRRI, Dehradun",SPM,UK Priv-AllIndia/Mgmt,?0*,"?30,000*",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",SPM,UK Priv-Govt Quota,?0*,"?40,000",0,?0,1200,,,
Uttarakhand,"SGRRI, Dehradun",SPM,UK Priv-Govt Quota,?0*,"?30,000*",1,"?10,00,000",750,,,
Uttarakhand,"Govt Med Coll, Haldwani",TBRD,UK-Govt Quota,"?60,000*","?71,257*",2*,"?2,50,00,000*",600,,,
Uttarakhand,"SGRRI, Dehradun",TBRD,UK Priv-AllIndia/Mgmt,"?25,75,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",TBRD,UK Priv-AllIndia/Mgmt,"?25,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"HIMS, Dehradun",TBRD,UK Priv-Govt Quota,"?25,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",TBRD,UK Priv-Govt Quota,"?25,75,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"SGRRI, Dehradun",TBRD,UK Priv-NRI,"?45,93,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"Doon Med Coll, Dehradun",ENT,UK-Govt Quota,"?60,000*","?71,257*",2*,"?2,50,00,000*",436,,,
Uttarakhand,"Govt Med Coll, Haldwani",ENT,UK-Govt Quota,"?60,000*","?71,257*",2*,"?2,50,00,000*",600,,,
Uttarakhand,"HIMS, Dehradun",ENT,UK Priv-AllIndia/Mgmt,"?17,00,000*","?40,000",1,"?10,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",ENT,UK Priv-AllIndia/Mgmt,"?22,50,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",ENT,UK Priv-Govt Quota,"?17,00,000*","?40,000",1,"?10,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",ENT,UK Priv-Govt Quota,"?22,50,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"Doon Med Coll, Dehradun",GENERAL SURGERY,UK-Govt Quota,"?60,000*","?71,257*",2*,"?2,50,00,000*",436,,,
Uttarakhand,"Govt Med Coll, Haldwani",GENERAL SURGERY,UK-Govt Quota,"?60,000*","?71,257*",2*,"?2,50,00,000*",600,,,
Uttarakhand,"HIMS, Dehradun",GENERAL SURGERY,UK Priv-AllIndia/Mgmt,"?25,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",GENERAL SURGERY,UK Priv-AllIndia/Mgmt,"?25,75,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",GENERAL SURGERY,UK Priv-Govt Quota,"?25,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",GENERAL SURGERY,UK Priv-Govt Quota,"?25,75,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"SGRRI, Dehradun",GENERAL SURGERY,UK Priv-NRI,"?45,93,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"Doon Med Coll, Dehradun",OBG,UK-Govt Quota,"?60,000*","?71,257*",2*,"?2,50,00,000*",436,,,
Uttarakhand,"Govt Med Coll, Haldwani",OBG,UK-Govt Quota,"?60,000*","?71,257*",2*,"?2,50,00,000*",600,,,
Uttarakhand,"HIMS, Dehradun",OBG,UK Priv-AllIndia/Mgmt,"?30,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",OBG,UK Priv-AllIndia/Mgmt,"?31,50,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",OBG,UK Priv-Govt Quota,"?30,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",OBG,UK Priv-Govt Quota,"?31,50,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"SGRRI, Dehradun",OBG,UK Priv-NRI,"?47,60,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"Doon Med Coll, Dehradun",OPHTHALMOLOGY,UK-Govt Quota,"?60,000*","?71,257*",2*,"?2,50,00,000*",436,,,
Uttarakhand,"VCSG Med Coll, Pauri Garhwal",OPHTHALMOLOGY,UK-Govt Quota,"?60,000*","?76,600*",2*,"?2,50,00,000*",Info Not Available,,,
Uttarakhand,"Govt Med Coll, Haldwani",OPHTHALMOLOGY,UK-Govt Quota,"?60,000*","?71,257*",2*,"?2,50,00,000*",600,,,
Uttarakhand,"HIMS, Dehradun",OPHTHALMOLOGY,UK Priv-AllIndia/Mgmt,"?26,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",OPHTHALMOLOGY,UK Priv-AllIndia/Mgmt,"?26,75,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",OPHTHALMOLOGY,UK Priv-Govt Quota,"?26,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",OPHTHALMOLOGY,UK Priv-Govt Quota,"?26,75,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"Doon Med Coll, Dehradun",ORTHOPAEDICS,UK-Govt Quota,"?60,000*","?71,257*",2*,"?2,50,00,000*",436,,,
Uttarakhand,"HIMS, Dehradun",ORTHOPAEDICS,UK Priv-AllIndia/Mgmt,"?30,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",ORTHOPAEDICS,UK Priv-AllIndia/Mgmt,"?31,00,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"HIMS, Dehradun",ORTHOPAEDICS,UK Priv-Govt Quota,"?30,00,000*","?40,000",1,"?2,50,00,000",1200,,,
Uttarakhand,"SGRRI, Dehradun",ORTHOPAEDICS,UK Priv-Govt Quota,"?31,00,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"SGRRI, Dehradun",ORTHOPAEDICS,UK Priv-NRI,"?47,60,000*","?59,065",1,"?10,00,000",750,,,
Uttarakhand,"VCSG MedCollHosp,PauriGarhwal",DNBGENERAL MEDICINE,UK DNB Serv,"?1,25,000","?76,600",2*,"?2,50,00,000*",774,,,
