State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
West Bengal,Calcutta National Med Coll,DA,WB Govt Quota,"?12,000*","?49,884",2*,"?20,00,000*",1470,,,
West Bengal,"Medical College, Kolkata",DA,WB Govt Quota,"?12,000*","?49,884",2*,"?20,00,000*",2668,,,
West Bengal,"RG Kar Med Coll, Kolkata",DA,WB Govt Quota,"?12,000*","?49,884",2*,"?20,00,000*",1663,,,
West Bengal,"VIMS, Kolkata",DCH,WB Govt Quota,"?13,000*","?49,884*",0,?0,Info Not Available,,,
West Bengal,"School of Tropical Med,Kolkata",DCP,WB Govt Quota,"?12,000*","?49,884",2*,"?20,00,000*",173,,,
West Bengal,"VIMS, Kolkata",DGO,WB Govt Quota,"?13,000*","?49,884*",0,?0,Info Not Available,,,
West Bengal,Burdwan Medical College,DGO,WB Govt Quota,"?12,000*","?49,884",2*,"?20,00,000*",1099,,,
West Bengal,"Medical College, Kolkata",DGO,WB Govt Quota,"?12,000*","?49,884",2*,"?20,00,000*",2668,,,
West Bengal,"VIMS, Kolkata",DO,WB Govt Quota,"?13,000*","?49,884*",0,?0,Info Not Available,,,
West Bengal,Burdwan Medical College,DO,WB Govt Quota,"?12,000*","?49,884",2*,"?20,00,000*",1099,,,
West Bengal,"Medical College, Kolkata",DO,WB Govt Quota,"?12,000*","?49,884",2*,"?20,00,000*",2668,,,
West Bengal,"Medical College, Kolkata",DORTHO,WB Govt Quota,"?12,000*","?49,884",2*,"?20,00,000*",2668,,,
West Bengal,"VIMS, Kolkata",DLO,WB Govt Quota,"?13,000*","?49,884*",0,?0,Info Not Available,,,
West Bengal,"Medical College, Kolkata",DLO,WB Govt Quota,"?12,000*","?49,884",2*,"?20,00,000*",2668,,,
West Bengal,"AIIHPH, Kolkata",EPIDEMIOLOGY,WB Govt Quota,"?12,000","?1,11,780",0,?0,Info Not Available,,,
West Bengal,"Shri Ramkrishna IMS, Durgapur",ANAESTHESIOLOGY,WB Govt Quota,"?16,80,000*","?60,000",0,?0,Info Not Available,,,
West Bengal,"Jagannath Gupta IMS, Kolkata",ANAESTHESIOLOGY,WB Govt Quota,"?9,00,000*","?43,600",0,?0,Info Not Available,,,
West Bengal,"VIMS, Kolkata",ANAESTHESIOLOGY,WB Govt Quota,"?18,000*","?49,884*",0,?0,Info Not Available,,,
West Bengal,"Gouri Devi Inst of MS,Durgapur",ANAESTHESIOLOGY,WB Govt Quota,"?14,00,000*","?44,000",0,?0,Info Not Available,,,
West Bengal,"IQ-City Med Coll, Burdwan",ANAESTHESIOLOGY,WB Govt Quota,"?9,00,000*","?40,000",0*,?0*,800,,,
West Bengal,"ICARE IMS & R, Haldia",ANAESTHESIOLOGY,WB Govt Quota,"?14,00,000*","?40,000",0,?0,Info Not Available,,,
West Bengal,"KPC Med Coll, Jadavpur",ANAESTHESIOLOGY,WB Govt Quota,"?8,50,000*","?43,758",0,?0,750,,,
West Bengal,Bankura Sammilani Med Coll,ANAESTHESIOLOGY,WB Govt Quota,"?12,000*","?49,884",3*,"?30,00,000*",1441,,,
West Bengal,Burdwan Medical College,ANAESTHESIOLOGY,WB Govt Quota,"?12,000*","?49,884",3*,"?30,00,000*",1099,,,
West Bengal,Calcutta National Med Coll,ANAESTHESIOLOGY,WB Govt Quota,"?12,000*","?49,884",3*,"?30,00,000*",1470,,,
West Bengal,"Chittaranjan CancerInst,Kolkata",ANAESTHESIOLOGY,WB Govt Quota,"?12,000*","?49,884",1*,"?10,00,000*",670,,,
West Bengal,"College of Med & JNM, Kalyani",ANAESTHESIOLOGY,WB Govt Quota,"?12,000*","?49,884",3*,"?30,00,000*",450,,,
West Bengal,"College of Med & SDH, Kolkata",ANAESTHESIOLOGY,WB Govt Quota,"?12,000*","?49,884",3*,"?30,00,000*",500,,,
West Bengal,"Command Hospital, Kolkata",ANAESTHESIOLOGY,WB Govt Quota,"?12,000*","?50,000",3*,"?30,00,000*",760,,,
West Bengal,"ESI, Joka, Kolkata",ANAESTHESIOLOGY,WB Govt Quota,"?2,50,000*","?1,00,980*",2*,"?10,00,000*",470,,,
West Bengal,"IPGMER, Kolkata",ANAESTHESIOLOGY,WB Govt Quota,"?12,000*","?49,884",3*,"?30,00,000*",2300,,,
West Bengal,"Medical College, Kolkata",ANAESTHESIOLOGY,WB Govt Quota,"?12,000*","?49,884",3*,"?30,00,000*",2668,,,
West Bengal,Midnapore Medical College,ANAESTHESIOLOGY,WB Govt Quota,"?12,000*","?49,884",3*,"?30,00,000*",1051,,,
West Bengal,Murshidabad Med Coll,ANAESTHESIOLOGY,WB Govt Quota,"?12,000*","?49,884",3*,"?30,00,000*",1208,,,
West Bengal,"Nilratan Sircar, Kolkata",ANAESTHESIOLOGY,WB Govt Quota,"?12,000*","?49,884",3*,"?30,00,000*",1920,,,
West Bengal,"NBMC, Darjeeling",ANAESTHESIOLOGY,WB Govt Quota,"?12,000*","?49,884",3*,"?30,00,000*",843,,,
West Bengal,"RG Kar Med Coll, Kolkata",ANAESTHESIOLOGY,WB Govt Quota,"?12,000*","?49,884",3*,"?30,00,000*",1663,,,
West Bengal,"Shri Ramkrishna IMS, Durgapur",ANAESTHESIOLOGY,WB Mgmt Quota,"?40,00,000*","?60,000",0,?0,Info Not Available,,,
West Bengal,"Jagannath Gupta IMS, Kolkata",ANAESTHESIOLOGY,WB Mgmt Quota,"?27,00,000*","?43,600",0,?0,Info Not Available,,,
West Bengal,"Gouri Devi Inst of MS,Durgapur",ANAESTHESIOLOGY,WB Mgmt Quota,"?40,00,000*","?44,000",0,?0,Info Not Available,,,
West Bengal,"IQ-City Med Coll, Burdwan",ANAESTHESIOLOGY,WB Mgmt Quota,"?27,00,000*","?40,000",0*,?0*,800,,,
West Bengal,"ICARE IMS & R, Haldia",ANAESTHESIOLOGY,WB Mgmt Quota,"?40,00,000*","?40,000",0,?0,Info Not Available,,,
West Bengal,"KPC Med Coll, Jadavpur",ANAESTHESIOLOGY,WB Mgmt Quota,"?27,00,000*","?43,758",0,?0,750,,,
West Bengal,"Shri Ramkrishna IMS, Durgapur",ANAESTHESIOLOGY,WB NRI Quota,"?1,33,33,000*","?60,000",0,?0,Info Not Available,,,
West Bengal,"Gouri Devi Inst of MS,Durgapur",ANAESTHESIOLOGY,WB NRI Quota,"?1,33,33,000*","?44,000",0,?0,Info Not Available,,,
West Bengal,"ICARE IMS & R, Haldia",ANAESTHESIOLOGY,WB NRI Quota,"?1,50,00,000*","?40,000",0,?0,Info Not Available,,,
West Bengal,"Jagannath Gupta IMS, Kolkata",ANATOMY,WB Govt Quota,"?9,00,000*","?43,600",0,?0,Info Not Available,,,
